# chisq H0 ombh2 omch2 tau As ns
2.579497576470244894e+03 6.839988112656529040e+01 2.233222464895388490e-02 1.172165998244901058e-01 8.590476763353235845e-02 2.225063178529789308e-09 9.733912966869400218e-01
2.578120278664064244e+03 6.839977408741000886e+01 2.233451007944712782e-02 1.172344894854810277e-01 8.633676297835220226e-02 2.225870934508690714e-09 9.732827266552525058e-01
2.577849775533724824e+03 6.837908308722610684e+01 2.233486227144385744e-02 1.172578245235655348e-01 8.609502527806167649e-02 2.224536766820654116e-09 9.732322245302610364e-01
2.577849775533724824e+03 6.837908308722610684e+01 2.233486227144385744e-02 1.172578245235655348e-01 8.609502527806167649e-02 2.224536766820654116e-09 9.732322245302610364e-01
2.577001401736491971e+03 6.837849061925541605e+01 2.233452329216511351e-02 1.172613466196552601e-01 8.667036509016023960e-02 2.225874002586898096e-09 9.732403905423279156e-01
2.576430857709886368e+03 6.838621286909382491e+01 2.233684439423337664e-02 1.173058181146033885e-01 8.661784778774070381e-02 2.224535024945191756e-09 9.732369642351849093e-01
2.576581467006900311e+03 6.840027590456088546e+01 2.233701427048355795e-02 1.173259051548564552e-01 8.668523224934586435e-02 2.225386818910867629e-09 9.732166439351718212e-01
2.576634598240861123e+03 6.840826365727316727e+01 2.233926435807835273e-02 1.172896096830891022e-01 8.676526970294205776e-02 2.225783175874960136e-09 9.732373445106992094e-01
2.576634598240861123e+03 6.840826365727316727e+01 2.233926435807835273e-02 1.172896096830891022e-01 8.676526970294205776e-02 2.225783175874960136e-09 9.732373445106992094e-01
2.576634598240861123e+03 6.840826365727316727e+01 2.233926435807835273e-02 1.172896096830891022e-01 8.676526970294205776e-02 2.225783175874960136e-09 9.732373445106992094e-01
2.576407442215644096e+03 6.840425337561077868e+01 2.233845881528327693e-02 1.173038317093554467e-01 8.666585945481786180e-02 2.224433316680802386e-09 9.732938165149176424e-01
2.576618079520639185e+03 6.842590844518079507e+01 2.233777196650132274e-02 1.172934069361669940e-01 8.713281584986638795e-02 2.225158706380887578e-09 9.732031241545266997e-01
2.576791841938907055e+03 6.841342819644019357e+01 2.233887316918687152e-02 1.173000034291029614e-01 8.650560038393417805e-02 2.225036851559337435e-09 9.733123434569918020e-01
2.576291689097589369e+03 6.839388991082495295e+01 2.234202285123308707e-02 1.172792275748185398e-01 8.626657895043966795e-02 2.222194281358574047e-09 9.734404549842423648e-01
2.576291689097589369e+03 6.839388991082495295e+01 2.234202285123308707e-02 1.172792275748185398e-01 8.626657895043966795e-02 2.222194281358574047e-09 9.734404549842423648e-01
2.576302683872426314e+03 6.841306520129839441e+01 2.234548167644765174e-02 1.172735917765143909e-01 8.664984667399951157e-02 2.223277680104853625e-09 9.733957923002387602e-01
2.576618882597666925e+03 6.842763771609020296e+01 2.234535265662824371e-02 1.173048619432344591e-01 8.621535512474125251e-02 2.223273329183504144e-09 9.734193863067029939e-01
2.576618882597666925e+03 6.842763771609020296e+01 2.234535265662824371e-02 1.173048619432344591e-01 8.621535512474125251e-02 2.223273329183504144e-09 9.734193863067029939e-01
2.576970253169880380e+03 6.841733761113451351e+01 2.234885265575814808e-02 1.173011137767976664e-01 8.654752321640710178e-02 2.220725799166524902e-09 9.734558879163988099e-01
2.577040723563799020e+03 6.844125618980460501e+01 2.234556669981760391e-02 1.173690888834991036e-01 8.633688190558123920e-02 2.221178981806055790e-09 9.734567379797816056e-01
2.577419505171485980e+03 6.844833090462712732e+01 2.235010290273080347e-02 1.173533644610083304e-01 8.652329299900211879e-02 2.221040045046441340e-09 9.735007567973975595e-01
2.578182370439007173e+03 6.846148264850124576e+01 2.234406722559095781e-02 1.173452838185162356e-01 8.647525934640566680e-02 2.220203589048766193e-09 9.734354200379283784e-01
2.577282415537096313e+03 6.845178019902347444e+01 2.234362707971137077e-02 1.172884887717575153e-01 8.592496138211401513e-02 2.223356833397550280e-09 9.733444649766169743e-01
2.576948366126054225e+03 6.845967757302696555e+01 2.234218110677258298e-02 1.172640654726799514e-01 8.634746404794260699e-02 2.224397677573388224e-09 9.732880011959823552e-01
2.576892389321489645e+03 6.846364262270546419e+01 2.234551280813209390e-02 1.172600129762925020e-01 8.660450530892263576e-02 2.222204045763217802e-09 9.733129072266963888e-01
2.576892389321489645e+03 6.846364262270546419e+01 2.234551280813209390e-02 1.172600129762925020e-01 8.660450530892263576e-02 2.222204045763217802e-09 9.733129072266963888e-01
2.576892389321489645e+03 6.846364262270546419e+01 2.234551280813209390e-02 1.172600129762925020e-01 8.660450530892263576e-02 2.222204045763217802e-09 9.733129072266963888e-01
2.576824265186131925e+03 6.846067796695527363e+01 2.234992756765550453e-02 1.172895805955802145e-01 8.636626536995482828e-02 2.224309580576620507e-09 9.733088377504789390e-01
2.576609754864209663e+03 6.844145005776424284e+01 2.234967058372139270e-02 1.173030894182606892e-01 8.621200253484417875e-02 2.223166747554269793e-09 9.732548277207181409e-01
2.576631782159019167e+03 6.845378204356642016e+01 2.235138185819149359e-02 1.172839898658501329e-01 8.646870578973535337e-02 2.222509830503105598e-09 9.731983215579570468e-01
